run,elpd_loo_AR,elpd_loo_MA,elpd_loo_BMA,elpd_loo_BPS,elpd_loo_BPS2,test_rmse_AR,test_rmse_MA,test_rmse_BMA,test_rmse_BPS,test_rmse_BPS2
58,-165.7,-165.2,-53.4,-48.5,-48.7,4.9,4.9,5.1,4.0,4.0
59,-165.9,-164.7,-56.2,-53.7,-53.7,5.0,4.9,5.4,4.8,4.8
60,-151.4,-149.1,-50.3,-51.2,-51.4,4.6,4.5,4.5,4.1,4.0
61,-156.5,-156.0,-47.1,-48.0,-47.8,5.7,5.7,5.4,5.0,5.0
62,-151.6,-149.6,-51.2,-48.4,-48.4,5.1,5.2,5.3,4.6,5.0
63,-147.0,-150.5,-57.4,-56.3,-56.3,4.4,4.3,5.5,4.8,4.8
64,-142.6,-140.9,-52.8,-53.2,-53.1,5.4,5.0,4.9,4.7,4.6
65,-155.5,-155.3,-51.8,-52.8,-52.7,5.0,5.2,4.9,4.5,4.5
66,-148.2,-142.9,-52.7,-53.3,-53.1,5.3,5.1,5.2,4.8,4.7
67,-161.2,-161.3,-52.5,-50.7,-51.1,5.6,5.4,5.6,5.2,5.8
68,-156.0,-153.9,-48.8,-46.2,-45.5,6.7,6.7,5.1,4.8,5.1
69,-168.9,-166.1,-50.7,-51.2,-51.5,5.5,5.5,5.2,4.5,4.4
70,-159.1,-158.5,-55.5,-51.9,-51.8,5.2,5.3,5.7,5.9,6.0
71,-144.5,-139.1,-55.9,-54.0,-54.3,6.3,6.2,6.7,5.9,6.0
72,-151.9,-138.6,-57.4,-54.9,-54.7,5.1,5.0,5.5,4.7,4.8
73,-145.2,-149.9,-60.7,-56.6,-56.0,5.9,6.4,6.5,5.4,5.7
74,-149.2,-141.9,-59.5,-57.8,-57.6,6.3,6.1,6.7,6.2,6.1
75,-165.6,-165.5,-56.9,-54.4,-54.4,5.7,5.9,6.0,5.7,6.0
76,-154.7,-149.5,-59.8,-54.7,-53.8,5.8,1260.9,50.3,174.3,1578.1
77,-144.5,-138.5,-52.8,-52.4,-52.3,5.8,5.7,5.7,5.3,5.3
78,-152.6,-154.1,-60.7,-60.7,-60.9,4.3,4.3,5.7,5.0,5.0
79,-151.1,-151.1,-55.9,-55.1,-55.0,5.9,5.8,6.4,5.9,5.8
80,-152.8,-152.5,-58.5,-59.6,-59.8,4.8,4.8,5.9,5.4,5.7
81,-155.1,-148.0,-51.3,-52.0,-51.6,5.5,5.4,5.2,4.7,4.8
82,-138.3,-129.9,-56.0,-55.2,-55.3,5.0,5.0,5.8,5.3,5.3
83,-164.1,-161.0,-62.9,-52.3,-52.5,5.0,5.1,6.2,6.1,6.0
84,-161.6,-154.4,-56.0,-53.3,-53.4,5.3,5.2,5.6,5.0,5.0
85,-169.4,-167.8,-56.1,-49.8,-49.8,5.3,5.3,5.6,4.3,4.2
86,-156.6,-157.0,-52.2,-52.1,-52.1,6.0,5.9,5.8,5.6,5.6
87,-153.5,-152.8,-53.9,-52.1,-52.2,4.2,4.2,4.9,4.6,4.7
88,-159.1,-159.0,-53.2,-52.6,-52.6,5.5,9.0,5.0,4.9,5.1
89,-152.8,-152.7,-52.1,-53.5,-53.2,5.2,5.2,5.7,5.3,5.3
90,-168.5,-167.6,-60.6,-55.9,-55.7,5.2,5.2,5.8,4.8,4.7
91,-153.2,-153.2,-52.6,-52.4,-52.3,4.2,4.2,4.8,4.6,4.6
92,-166.2,-165.1,-55.5,-54.6,-54.5,5.6,5.5,5.4,5.0,4.9
93,-154.9,-155.1,-53.1,-53.7,-53.6,4.4,4.3,4.9,4.3,4.3
94,-161.5,-161.1,-52.9,-51.8,-52.0,6.7,6.8,6.7,7.1,7.1
95,-154.0,-150.2,-56.1,-57.0,-57.0,4.7,4.7,5.3,4.9,4.9
96,-162.8,-161.2,-54.6,-54.8,-54.7,6.0,5.9,5.8,5.2,5.3
97,-153.7,-153.1,-59.4,-51.8,-52.1,4.9,6.8,5.7,5.2,5.2
98,-154.6,-153.7,-59.2,-57.7,-57.9,4.3,4.3,5.7,5.7,5.6
99,-163.7,-162.2,-57.1,-55.8,-55.8,5.7,5.9,6.1,6.3,6.3
100,-162.7,-161.0,-52.4,-52.9,-53.1,5.1,5.1,5.1,4.8,4.9
