"run","test_rmse_AR","test_rmse_MA","test_rmse_BMA","test_rmse_BPS","test_rmse_BPS2"
1,1.49507030747024,1.50654211933752,1.46477026335117,1.05567216381886,0.942037330653948
2,1.53230023597785,1.50676298320999,1.49387519688069,1.13970388220226,1.12915332150736
3,1.50532814119109,1.48227512164687,1.45123837274985,1.01288650585812,0.909391118008463
4,1.15820883392012,1.1418757060664,1.05917893688984,1.00538796820557,1.06315635098704
5,1.72013753043025,1.74075658886058,1.66069782864353,1.12597792587309,0.823040365903717
6,1.51465150210723,1.51791359974899,1.44355552139435,1.20228041657862,1.03850786483933
7,1.33829940047501,1.2979248805858,1.3640433035998,0.825350527584655,0.687711355455483
8,1.53923446904044,1.54803694801773,1.5500963126463,1.4736494218419,1.18720474771468
9,1.607957273826,1.59572262794739,1.5553717378511,1.05172363983544,1.1281114088135
10,1.49868727593079,1.5108422213492,1.40177088228954,1.05998359312751,1.0038228261346
11,1.58484545505988,1.58266562156714,1.50197651064684,1.26418558774254,1.08962737715954
12,1.61067945838813,1.59480111812524,1.44645175459327,1.11993312265197,0.937734357000379
13,1.52316967589279,1.56484672104392,1.39726829181988,1.09664194300743,0.744525782961657
14,1.57158792295755,1.53985271238908,1.54759859881813,1.00216355817307,0.832648568427509
15,1.54909736708004,1.55869445693675,1.47218260977459,1.06117287524783,0.83006772348677
16,1.5909707573552,1.65603509506739,1.55711730385749,1.08335701046421,1.51952905055419
17,1.49848361485481,1.48226348914438,1.48498670542971,1.29539835397317,1.09408503857849
18,1.59412623075299,1.53294196518621,1.44097809205324,0.953491447819695,1.01381601988643
19,1.60969936714739,1.6077885204441,1.57513192253676,1.14342447224644,1.19987824433931
20,1.52210430432457,1.4523624122569,1.36373197317092,0.906284220475056,0.838434071816429
21,1.48617773851309,1.56639661763982,1.40522974243832,0.961715064464133,0.739742821404355
22,1.54156649991111,1.547317852759,1.53402338353981,0.932406473578144,0.693683668779195
23,1.63523531042903,1.6030649474733,1.51747656143986,1.02883809949958,0.74682924262574
24,1.41949578452669,1.36882085481096,1.3689879202529,1.00391365696469,0.948893461875392
25,1.46891251961902,1.49215636061724,1.48360503433067,1.07240571443127,1.15752442968352
26,1.85465575905391,1.83158436533802,1.84705910519416,1.37589513128444,1.54409243472241
27,1.63953612440514,1.62985264084198,1.75354318616253,1.06474656686976,1.42253497219141
28,1.56130228970022,1.50778690199245,1.47181159559842,0.982177368767917,1.03981194580732
29,1.54941205036549,1.53639031494164,1.51939967357115,1.14465487342288,1.16161999714348
30,1.59196283739564,1.58862709222491,1.5155424136743,1.10956836845824,0.686780264356786
31,1.4914863499279,1.48186071738668,1.48043032523134,1.12995368416895,0.915165301160216
32,1.58548892654905,1.58894450645776,1.511774962631,0.967648485646444,1.08717784829441
33,1.58279501605562,1.61675029140175,1.51990822884479,0.981268637536371,0.729635832583224
34,1.39429073432903,1.3444233906748,1.25735520415448,0.950129395081906,0.845062346135495
35,1.46872406106515,1.47604053737434,1.39987858962196,1.06886499288367,0.844295352493468
36,1.53864294553264,1.49526064467584,1.49368809748647,1.06767913533525,0.847358968259191
37,1.52729169765997,1.53579206560036,1.45808947183808,1.15211608259526,0.889229261311517
38,1.57043263177821,1.65891167223606,1.55080996137754,1.05165486404606,0.878866401192551
39,1.48031653300891,1.46209032398658,1.53965747459163,1.0476133125706,0.721889859495306
40,1.54641923341137,1.52291001884368,1.49951304697012,0.9297949220875,0.69810935347655
41,1.50412760258413,1.49138660950693,1.52400121019512,1.03765313316105,0.730990947745341
42,1.44529498790642,1.44657632062744,1.41469287700016,1.28522938262479,1.11375261861512
43,1.53851954330558,1.5248960126462,1.55286291675549,1.1441737667324,1.22900419564448
44,1.48750333378107,1.481076179105,1.40761350828707,1.12276985358576,0.988491693002221
45,1.60260024627606,1.60056088687092,1.48866635651171,1.00995511547698,0.665524729059468
46,1.51388372030986,1.52589550646663,1.41204566693954,0.952528970739763,0.826974840710001
47,1.53299547066439,1.49908918650733,1.52568030648215,1.46532163148878,1.16109764566539
48,1.50972174784919,1.54204647360994,1.47932569728666,0.893689797218606,1.13011309931812
49,1.38238210414773,1.38716474710336,1.44792947693116,1.01420038026562,0.746502978463147
50,1.47387061211121,1.49333770905147,1.40481480317541,1.06284441129018,0.799116612527237
