run,elpd_loo_AR,elpd_loo_MA,elpd_loo_BMA,elpd_loo_BPS,elpd_loo_BPS2,test_rmse_AR,test_rmse_MA,test_rmse_BMA,test_rmse_BPS,test_rmse_BPS2
1,-785.2753094,-776.5538103,-278.4274249,-284.0670183,-285.1753423,5.051751128,5.04392907,6.330917712,5.439962424,5.426448129
2,-769.8498816,-768.9714704,-282.3283358,-282.880803,-282.0511832,5.061348629,5.039591864,6.462142071,5.919997726,5.855669744
3,-802.2757063,-800.923302,-252.9030326,-263.5394373,-264.4618462,5.361565817,5.342588952,5.522252711,4.7185235,4.790345944
4,-801.9862922,-793.7399694,-279.8024595,-290.3031942,-289.4989669,5.44396662,5.444525795,6.593714266,5.316886727,5.350220145
5,-798.4385353,-799.0631783,-288.9730561,-283.2959404,-283.9123723,5.762106793,5.740873125,6.965007436,6.030876171,6.027521792
6,-789.4504357,-786.3422562,-274.8963677,-276.3940269,-276.2644015,4.891440461,4.883670386,6.008038425,5.340625767,5.327183673
7,-810.9798871,-808.2841551,-265.9685296,-260.6405631,-260.7575671,5.229425998,5.210746801,5.700318134,5.114104884,5.076135641
8,-761.8917844,-759.2284785,-272.7440219,-283.0001936,-281.0010382,5.511705775,5.49775691,6.445154162,5.596813233,5.664118953
9,-800.0344937,-791.6746182,-254.7561471,-262.5996023,-263.1181519,5.702091979,5.688656237,5.892872531,5.163509625,5.118472703
10,-782.624247,-783.7209409,-258.1905684,-266.1184278,-266.8696813,5.660827993,5.618692803,5.867311224,5.049012079,5.053141109
11,-804.4926558,-804.723342,-281.455139,-287.9469816,-288.265968,5.52997023,5.499530396,6.566503993,5.319866212,5.331184605
12,-807.4838065,-807.2170478,-282.0877062,-281.9719554,-281.788411,5.414973953,5.401280996,6.465245315,5.276458051,5.260229859
13,-785.7213775,-776.5685496,-278.7163932,-276.2756273,-276.8933487,5.421071621,5.378114217,6.422642399,5.628035316,5.624226791
14,-795.5627669,-795.6606053,-266.1190571,-268.3161966,-268.2210209,5.454595833,5.44270792,5.906269357,5.356601568,5.330968711
15,-777.0164013,-775.233589,-261.7792519,-259.3920016,-258.9453732,5.307237451,5.277814016,5.902938,5.033020483,5.011529442
16,-808.2390909,-807.3328427,-260.1499075,-270.0423081,-269.0287981,5.504463957,5.492305394,6.005260572,5.367239351,5.24539051
17,-793.632647,-788.5539876,-281.9593133,-279.3961276,-279.4323364,5.554483922,5.555053802,6.758470369,6.225870798,6.306624883
18,-796.0637289,-795.3258731,-272.6673028,-283.6885135,-284.1796285,5.131269184,5.067565054,5.98499576,4.895671918,4.919697172
19,-765.8311996,-765.5214537,-285.8347391,-284.4315794,-284.8975635,5.283804156,5.239566558,6.542467137,5.331899077,5.324945342
20,-781.3817699,-781.3428875,-288.2733265,-281.3311129,-280.9145099,5.380360109,5.329707426,6.635979127,4.909128795,4.899629391
21,-794.2832648,-792.4293902,-279.2246335,-275.0695772,-275.2490073,5.537118712,5.494741545,6.483004342,5.288993279,5.274894408
22,-786.664852,-785.8252005,-278.7212722,-293.5902815,-293.1375718,5.315833683,5.270162808,6.446544183,5.741252954,5.800169647
23,-805.7546319,-803.9832471,-283.0475247,-287.3434356,-286.3043801,5.226779269,5.217455075,6.443069635,5.489900313,5.501057648
24,-808.6370832,-805.6970186,-287.7060469,-281.1792135,-279.8870532,5.692427422,5.679367693,6.847548223,5.815578742,5.823820306
25,-779.8009294,-779.2642079,-284.3473342,-287.4326003,-286.1036121,5.810411573,6.446162394,6.808910474,5.403815675,5.399481494
26,-794.8090712,-791.5654826,-265.3816677,-259.1073036,-259.3921269,5.301050558,5.273569848,5.742099177,5.047448584,5.057059884
27,-767.2430409,-765.8631451,-263.0635957,-271.5654269,-271.7101989,4.846301862,4.807460352,5.468986676,5.143659205,5.196210514
28,-787.8151129,-786.7632864,-277.4127995,-288.4392248,-288.8547014,5.066750137,5.035294579,6.055267319,4.944015138,4.957897429
29,-775.9419051,-774.7757825,-274.1749009,-270.2158024,-270.7763183,5.81842009,5.795721812,6.650434047,5.610817367,5.641023611
30,-791.2078414,-786.5885798,-271.3961558,-278.9507476,-279.1992737,5.064605199,5.033997335,5.947179437,4.872211914,4.906619319
31,-782.8834772,-776.4361895,-276.5101412,-272.3585283,-274.7690396,5.672238289,5.642424213,6.56306611,5.75996893,5.841445469
32,-769.5914696,-769.1937237,-267.4778056,-266.6160614,-267.8665877,5.025087618,4.982949667,5.816341696,5.340397604,5.353804677
33,-790.2421023,-788.8770817,-287.2181762,-284.9309417,-285.0434014,5.690844288,5.647923254,6.81733679,5.496819338,5.478362285
34,-787.6185559,-780.0359586,-262.7540352,-264.0025385,-263.3888703,5.301376182,5.301436326,5.711787919,5.095272677,5.098765315
35,-790.0115856,-788.4761326,-286.2060857,-279.7575864,-279.9180521,5.14242457,5.12600187,6.681145936,5.971403713,5.95647886
36,-794.6727719,-793.7874754,-262.0767227,-256.4814053,-256.1303851,5.45272634,5.432789167,5.881076134,5.314643564,5.393106809
37,-795.8568459,-797.034937,-284.0094232,-281.1757519,-280.2232621,5.476858234,5.459648422,6.704189637,5.69152659,5.76095504
38,-793.2067611,-793.6204163,-279.5808255,-250.4192269,-249.5895888,5.702584622,5.704533701,6.848526388,6.514213152,6.781343749
39,-795.4735696,-791.9395509,-282.1025809,-278.2954109,-278.1977106,5.423759387,5.3858817,6.559767699,5.710326917,5.686642504
40,-785.7263587,-785.377118,-277.34229,-287.5458297,-287.4586478,5.442867748,5.425919271,6.510808015,5.368661278,5.370572517
41,-783.8227126,-778.5700304,-292.7468231,-281.1714501,-281.0265562,5.579253956,5.566614904,7.270507597,5.887583264,5.847342175
42,-809.5758088,-803.5975759,-247.3961936,-252.0188104,-251.997295,5.212370224,5.202286524,5.187938884,4.972909675,4.99382997
43,-804.8682589,-786.9626551,-270.2720932,-284.3531838,-282.1993064,5.191097018,5.164138471,5.99062608,4.953262835,4.921263396
44,-786.7452132,-772.5579505,-265.7624452,-272.037075,-272.3596961,5.318670017,5.309042034,5.862381352,4.807637788,4.82490794
45,-803.2185734,-801.0960574,-275.3504094,-274.6628515,-274.221615,5.626478687,5.609036305,6.514941966,5.628621311,5.661185439
46,-788.1356924,-788.1320013,-268.3511661,-270.8173653,-271.1057606,4.967167903,4.953555363,5.960606694,5.900181251,6.006255356
47,-790.4660506,-778.7666948,-273.162051,-265.5602461,-264.6776878,4.766252075,4.760747192,5.886226544,5.909377517,6.208723193
48,-783.2436631,-778.7361137,-263.3797982,-271.6059233,-271.9473427,5.304927749,5.276223698,5.977153485,5.315310116,5.234910659
49,-795.8663997,-790.9936535,-280.8060691,-288.0160023,-287.5394661,5.178933189,5.170491764,6.376756328,5.326628783,5.311074441
50,-826.6274906,-812.9949986,-266.3984067,-280.4396897,-280.2018158,5.572384905,5.54626833,6.015864743,5.159878663,5.162436064
